,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length
microsoft/DialoGPT-medium,0.0,0.3327002746357585,0.12775862068965518,0.2834334124656705,7.6
Pi3141/DialoGPT-medium-elon-2,0.0,0.31107834101382487,0.12120255661642862,0.26617511520737325,8.8
0xDEADBEA7/DialoGPT-small-rick,0.0,0.3327002746357585,0.12775862068965518,0.2834334124656705,7.6
satvikag/chatbot,0.0,0.3050444056005791,0.12257343550447,0.26353326153103684,9.4
microsoft/DialoGPT-large,0.0,0.30997300190848576,0.12109195402298849,0.266387957920216,9.0
